GID,PID,SEASON,POSTSEASON,AWAY,PRESSURE,TO BEFORE,PRECIP,COLD49,HUMID,WINDY,GRASS,ALTITUDE,DIST,MAKE,BLOCKED,FKICKER,NAME,FG OF CAREER,SEASON OF CAREER
17,2689,2000,0,0,2,0,0,0,1,0,0,0,45,1,0,SC-070,Steve Christie,341,4
17,2714,2000,0,0,2,0,0,0,1,0,0,0,20,1,0,SC-070,Steve Christie,342,4
17,2727,2000,0,1,2,0,0,0,1,0,0,0,24,1,0,RL-130,Ryan Longwell,107,4
18,2839,2000,0,0,2,0,0,0,1,0,1,0,42,0,1,NR-010,Neil Rackers,1,1
18,2884,2000,0,1,2,0,0,0,1,0,1,0,30,1,0,PD-020,Phil Dawson,13,2
19,2971,2000,0,0,2,0,0,0,0,1,1,1,29,1,0,JE-020,Jason Elam,252,8
19,2985,2000,0,0,2,0,0,0,0,1,1,1,51,1,0,JE-020,Jason Elam,253,8
20,3127,2000,0,0,2,0,0,0,0,0,0,0,49,1,0,JH-090,Jason Hanson,248,9
20,3152,2000,0,0,2,0,0,0,0,0,0,0,20,1,0,JH-090,Jason Hanson,249,9
20,3203,2000,0,0,2,0,0,0,0,0,0,0,54,1,0,JH-090,Jason Hanson,250,9
20,3212,2000,0,1,2,0,0,0,0,0,0,0,26,1,0,BC-230,Brett Conway,29,2
20,3224,2000,0,0,3,0,0,0,0,0,0,0,37,1,0,JH-090,Jason Hanson,251,9
20,3238,2000,0,0,3,0,0,0,0,0,0,0,35,1,0,JH-090,Jason Hanson,252,9
21,3297,2000,0,1,2,0,0,0,0,0,0,0,50,0,0,SJ-030,Sebastian Janikowski,2,1
21,3321,2000,0,0,2,0,0,0,0,0,0,0,47,0,0,MV-010,Mike Vanderjagt,75,3
21,3345,2000,0,0,2,0,0,0,0,0,0,0,31,1,0,MV-010,Mike Vanderjagt,76,3
21,3365,2000,0,1,2,0,0,0,0,0,0,0,24,1,0,SJ-030,Sebastian Janikowski,3,1
22,3456,2000,0,0,2,0,0,0,0,0,0,0,28,1,0,GA-030,Gary Anderson,595,21
22,3545,2000,0,0,3,0,0,0,0,0,0,0,49,1,0,GA-030,Gary Anderson,596,21
23,3611,2000,0,1,2,0,0,0,1,0,0,0,32,1,0,BD-010,Brad Daluiso,114,7
23,3627,2000,0,1,2,0,0,0,1,0,0,0,36,1,0,BD-010,Brad Daluiso,115,7
23,3645,2000,0,0,2,0,0,0,1,0,0,0,33,1,0,DA-030,David Akers,11,1
23,3680,2000,0,0,2,0,0,0,1,0,0,0,29,1,0,DA-030,David Akers,12,1
23,3713,2000,0,1,3,0,0,0,1,0,0,0,44,1,0,BD-010,Brad Daluiso,116,7
23,3725,2000,0,1,3,1,0,0,1,0,0,0,23,1,0,BD-010,Brad Daluiso,117,7
24,3763,2000,0,0,2,0,0,0,0,0,1,0,42,1,0,JC-090,John Carney,309,11
24,3821,2000,0,1,2,0,0,0,0,0,1,0,20,1,0,DB-390,Doug Brien,158,7
24,3833,2000,0,1,2,1,0,0,0,0,1,0,20,1,0,DB-390,Doug Brien,159,7
24,3868,2000,0,1,3,0,0,0,0,0,1,0,31,1,0,DB-390,Doug Brien,160,7
24,3889,2000,0,0,3,0,0,0,0,0,1,0,49,1,0,JC-090,John Carney,310,11
25,4015,2000,0,1,2,0,0,0,1,0,1,0,24,1,0,RC-290,Richie Cunningham,81,4
26,4098,2000,0,0,2,0,0,0,1,0,0,0,19,1,0,KH-150,Kris Heppner,2,1
26,4109,2000,0,1,2,0,0,0,1,0,0,0,48,1,0,JW-330,Jeff Wilkins,147,6
26,4136,2000,0,1,2,0,0,0,1,0,0,0,48,1,0,JW-330,Jeff Wilkins,148,6
26,4190,2000,0,0,2,0,0,0,1,0,0,0,43,1,0,KH-150,Kris Heppner,3,1
26,4236,2000,0,1,5,0,0,0,1,0,0,0,27,1,0,JW-330,Jeff Wilkins,149,6
27,4267,2000,0,0,2,0,0,0,1,1,1,0,50,0,0,MG-120,Martin Gramatica,35,2
27,4287,2000,0,0,2,0,0,0,1,1,1,0,23,1,0,MG-120,Martin Gramatica,36,2
27,4303,2000,0,0,2,0,0,0,1,1,1,0,47,1,0,MG-120,Martin Gramatica,37,2
27,4382,2000,0,1,1,0,0,0,1,1,1,0,42,0,0,PE-010,Paul Edinger,3,1
28,4493,2000,0,1,2,0,0,0,1,1,1,0,36,0,0,PS-090,Pete Stoyanovich,276,12
28,4563,2000,0,0,5,1,0,0,1,1,1,0,36,1,0,AD-080,Al Del Greco,336,17
29,4575,2000,0,0,2,0,0,0,0,0,1,0,19,1,0,CB-170,Cary Blanchard,155,9
29,4635,2000,0,0,2,0,0,0,0,0,1,0,54,1,0,CB-170,Cary Blanchard,156,9
29,4649,2000,0,1,2,0,0,0,0,0,1,0,44,1,0,TS-110,Tim Seder,3,1
29,4668,2000,0,0,2,0,0,0,0,0,1,0,35,1,0,CB-170,Cary Blanchard,157,9
29,4692,2000,0,0,3,0,0,0,0,0,1,0,51,1,0,CB-170,Cary Blanchard,158,9
30,4726,2000,0,1,2,0,0,0,1,0,1,0,32,1,0,AV-040,Adam Vinatieri,148,5
30,4754,2000,0,1,2,0,0,0,1,0,1,0,35,1,0,AV-040,Adam Vinatieri,149,5
30,4760,2000,0,1,2,0,0,0,1,0,1,0,30,1,0,AV-040,Adam Vinatieri,150,5
30,4786,2000,0,1,2,0,0,0,1,0,1,0,33,1,0,AV-040,Adam Vinatieri,151,5
30,4818,2000,0,1,2,0,0,0,1,0,1,0,29,0,0,AV-040,Adam Vinatieri,152,5
31,4900,2000,0,1,2,0,0,0,1,0,1,0,31,1,0,MA-070,Morten Andersen,607,18
31,4910,2000,0,0,2,0,0,0,1,0,1,0,25,0,1,RC-290,Richie Cunningham,82,4
31,4919,2000,0,1,2,0,0,0,1,0,1,0,50,0,0,MA-070,Morten Andersen,608,18
31,4945,2000,0,0,2,0,0,0,1,0,1,0,33,1,0,RC-290,Richie Cunningham,83,4
31,4976,2000,0,1,2,0,0,0,1,0,1,0,47,0,0,MA-070,Morten Andersen,609,18
31,5025,2000,0,1,3,0,0,0,1,0,1,0,27,1,0,MA-070,Morten Andersen,610,18
32,5073,2000,0,0,2,0,0,0,0,0,1,0,49,0,0,PE-010,Paul Edinger,4,1
32,5084,2000,0,1,2,0,0,0,0,0,1,0,34,0,0,BD-010,Brad Daluiso,118,7
32,5098,2000,0,1,2,0,0,0,0,0,1,0,41,0,1,BD-010,Brad Daluiso,119,7
32,5188,2000,0,1,3,1,0,0,0,0,1,0,31,0,1,BD-010,Brad Daluiso,120,7
33,5262,2000,0,1,2,0,0,0,0,1,1,0,41,1,0,KB-230,Kris Brown,31,2
33,5274,2000,0,1,2,0,0,0,0,1,1,0,31,1,0,KB-230,Kris Brown,32,2
33,5282,2000,0,0,2,0,0,0,0,1,1,0,23,1,0,PD-020,Phil Dawson,14,2
33,5316,2000,0,0,3,0,0,0,0,1,1,0,28,1,0,PD-020,Phil Dawson,15,2
33,5336,2000,0,0,3,1,0,0,0,1,1,0,19,1,0,PD-020,Phil Dawson,16,2
34,5353,2000,0,0,2,0,0,0,0,0,0,0,38,1,0,JH-090,Jason Hanson,253,9
34,5396,2000,0,0,2,0,0,0,0,0,0,0,34,0,0,JH-090,Jason Hanson,254,9
34,5432,2000,0,1,2,0,0,0,0,0,0,0,38,0,0,MG-120,Martin Gramatica,38,2
34,5458,2000,0,1,2,1,0,0,0,0,0,0,24,1,0,MG-120,Martin Gramatica,39,2
35,5569,2000,0,1,2,1,0,0,1,0,1,0,43,1,0,DA-030,David Akers,13,1
35,5587,2000,0,0,2,0,0,0,1,0,1,0,40,0,0,RL-130,Ryan Longwell,108,4
35,5610,2000,0,0,2,0,0,0,1,0,1,0,37,1,0,RL-130,Ryan Longwell,109,4
35,5664,2000,0,0,5,1,0,0,1,0,1,0,38,1,0,RL-130,Ryan Longwell,110,4
36,5689,2000,0,0,2,0,0,0,-1,0,1,0,30,1,0,SL-060,Steve Lindsey,1,1
36,5718,2000,0,1,2,0,0,0,-1,0,1,0,44,0,0,NR-010,Neil Rackers,2,1
36,5747,2000,0,1,2,0,0,0,-1,0,1,0,47,0,0,NR-010,Neil Rackers,3,1
36,5771,2000,0,0,2,0,0,0,-1,0,1,0,33,0,0,SL-060,Steve Lindsey,2,1
36,5826,2000,0,0,1,1,0,0,-1,0,1,0,19,1,0,SL-060,Steve Lindsey,3,1
37,5879,2000,0,1,2,0,0,0,0,0,1,0,54,1,0,JC-090,John Carney,311,11
37,5938,2000,0,1,2,0,0,0,0,0,1,0,51,0,0,JC-090,John Carney,312,11
38,6075,2000,0,0,2,0,0,0,-1,1,1,0,44,0,0,AV-040,Adam Vinatieri,153,5
39,6266,2000,0,1,2,0,0,0,1,1,1,0,43,0,1,SC-070,Steve Christie,343,4
39,6273,2000,0,0,2,0,0,0,1,1,1,0,51,1,0,JH-050,John Hall,118,4
39,6307,2000,0,0,3,0,0,0,1,1,1,0,33,0,0,JH-050,John Hall,119,4
39,6323,2000,0,0,1,0,0,0,1,1,1,0,27,1,0,JH-050,John Hall,120,4
40,6358,2000,0,1,2,0,0,0,0,0,1,0,24,1,0,JN-060,Joe Nedney,73,5
40,6385,2000,0,0,2,0,0,0,0,0,1,0,19,1,0,SJ-030,Sebastian Janikowski,4,1
40,6440,2000,0,1,2,0,0,0,0,0,1,0,32,1,0,JN-060,Joe Nedney,74,5
40,6455,2000,0,1,3,0,0,0,0,0,1,0,22,1,0,JN-060,Joe Nedney,75,5
40,6465,2000,0,0,3,0,0,0,0,0,1,0,49,0,0,SJ-030,Sebastian Janikowski,5,1
40,6473,2000,0,1,3,0,0,0,0,0,1,0,21,1,0,JN-060,Joe Nedney,76,5
41,6532,2000,0,0,2,0,0,0,1,0,0,0,37,0,0,KH-150,Kris Heppner,4,1
41,6545,2000,0,1,2,0,0,0,1,0,0,0,23,1,0,DB-390,Doug Brien,161,7
41,6568,2000,0,0,2,0,0,0,1,0,0,0,31,1,0,KH-150,Kris Heppner,5,1
41,6610,2000,0,0,3,0,0,0,1,0,0,0,45,1,0,KH-150,Kris Heppner,6,1
42,6639,2000,0,0,2,0,0,0,0,0,0,0,47,1,0,JW-330,Jeff Wilkins,150,6
42,6672,2000,0,1,2,0,0,0,0,0,0,0,21,1,0,WR-050,Wade Richey,44,3
42,6741,2000,0,0,3,0,0,0,0,0,0,0,25,1,0,JW-330,Jeff Wilkins,151,6
43,6808,2000,0,0,2,0,0,0,1,1,1,0,42,1,0,OM-010,Olindo Mare,121,4
43,6823,2000,0,0,2,0,0,0,1,1,1,0,41,1,0,OM-010,Olindo Mare,122,4
43,6858,2000,0,1,2,1,0,0,1,1,1,0,30,0,1,MS-520,Matt Stover,264,10
